Algoritmo,Params,Accuracy,Precision_macro,Recall_macro,F1_macro
svm,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.8702944198514434,0.8807851663322699,0.8702944129428107,0.8709143737031327
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.8510637293367239,0.8631938713580402,0.8510627876748027,0.8520225902479706
svm,"{'C': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.8196261527920743,0.8353095987458851,0.8196226222894815,0.8209494083239924
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7305644849571302,0.7706499823033708,0.7305605616291262,0.7326456964058512
