Algoritmo,Params,Score,Precision,Recall
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.4074539272399379,0.5035206858659491,0.41124202823720746
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.4074539272399379,0.5035206858659491,0.41124202823720746
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.4074539272399379,0.5035206858659491,0.41124202823720746
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.4074539272399379,0.5035206858659491,0.41124202823720746
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.4073687240191132,0.5030876444745049,0.411182397945019
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.4073687240191132,0.5030876444745049,0.411182397945019
decision_tree,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.4073687240191132,0.5030876444745049,0.411182397945019
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.42481929202788093,0.5118463170278812,0.4244941872625246
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.4246067263109989,0.5117406211969946,0.4243120379000473
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.42512935427431897,0.512036458942412,0.42479620301737997
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.42445915483847074,0.5116653760379423,0.42419007125343383
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.4249168781088846,0.5119169475708791,0.4246140536549028
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.42448862976220003,0.511677109948007,0.42424975492994826
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.42403266778866977,0.5458348536710103,0.42360120207464097
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.42403266778866977,0.5458348536710103,0.42360120207464097
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.42406133349918135,0.545882629627038,0.42360120207464097
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.4503854110779649,0.5379910844220434,0.44422288280725486
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.4522204093129731,0.5462224183024174,0.4452441680568516
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.4538796720235282,0.5520943982483932,0.4468751086303917
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.45004348856376863,0.5486992402533754,0.44350812930360917
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.4501977990395128,0.5488586953988929,0.44381329677572456
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.450036596878334,0.541685052927598,0.44369553063758166
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.4564265394505135,0.5716927463820682,0.44773234235657117
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.4553998767911958,0.5730763283353743,0.4468776284640903
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.4543451891747491,0.5613573505399814,0.44683402183228643
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5296805482066506,0.5247588594108469,0.5403589106081761
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5330062576091941,0.5292837234311756,0.542715726350421
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5290149512362543,0.5248948166559827,0.5384274174227148
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5308156154427164,0.5301726641921062,0.537198196430857
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.5312803511154964,0.5303129486302092,0.5383567612583433
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5310837518219454,0.5296231292955824,0.5397716270550923
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5317002835600124,0.5305096001428898,0.5419607711077006
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5321497331007187,0.531742879465856,0.541555759274923
decision_tree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.533443361841303,0.5346012141231269,0.5435575136976964
