algoritmo,hiperparametros,f1_macro,max_features,tipo_ngramas,usa_bigramas,balancing_method,tipo_oversampling
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 20}",0.8596770774301117,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",0.8590523007270352,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",0.8589157138766483,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",0.857108467967459,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",0.8567216576183713,3500,unigramas+bigramas,True,oversampling,smote
svm,"{'C': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.839902493416845,3500,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8136495708162199,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8136495708162199,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.813644704563964,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.813644704563964,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7528461633391216,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7528461633391216,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7527857788007399,3000,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7527857788007399,3000,unigramas+bigramas,True,oversampling,smote
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7373978352111598,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7051465203359137,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7036732611400356,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.7033458133653185,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7029677134298832,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6999538393919591,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6982717547153203,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6977349793766476,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.696629406112706,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.6949592871476398,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.693862053998224,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6914962749277952,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6885101634494158,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",0.6784332632598508,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",0.6759062307163634,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",0.6754309742845338,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20}",0.6734799152331928,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",0.671040068421659,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",0.6707262770626339,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",0.669147763582484,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20}",0.6686010834078379,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 20}",0.6683789236772547,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 20}",0.6670661612600013,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",0.6667086230502602,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",0.657567692211982,3500,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6474336194055994,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6474336194055994,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6474336194055994,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6474336194055994,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6456065370061255,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6456065370061255,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6456065370061255,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6456065370061255,3000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6411081652546149,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6410815608457665,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6405166109864666,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.6382246205284875,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6380435378790597,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.637844461164446,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6371627780170991,3500,unigramas+bigramas,True,oversampling,smote
random_forest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6360977007938725,3500,unigramas+bigramas,True,oversampling,smote
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6339678164101944,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6339678164101944,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6339678164101944,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6339678164101944,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6338189132636233,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6338189132636233,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6338189132636233,3000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6338189132636233,3000,unigramas+bigramas,True,undersampling,-
